Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,SocialGoal.Core\SocialGoal.Core.csproj,File,SocialGoal.Core\SocialGoal.Core.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SocialGoal.Core\SocialGoal.Core.csproj,File,SocialGoal.Core\SocialGoal.Core.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.5 Recommended target framework: net10.0"
Binding.0004,AutoGenerateBindingRedirects not set and no manual redirects,Active,Potential,1,SocialGoal.Core\SocialGoal.Core.csproj,File,SocialGoal.Core\SocialGoal.Core.csproj,,,,,,,,"AutoGenerateBindingRedirects is not set in SocialGoal.Core.csproj, no manual redirects found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SocialGoal.Data\SocialGoal.Data.csproj,File,SocialGoal.Data\SocialGoal.Data.csproj,,,EntityFramework 6.0.1,,,,,"EntityFramework, 6.0.1  Recommendation:  Remove EntityFramework, and replace with new package EntityFramework 6.5.2"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,SocialGoal.Data\SocialGoal.Data.csproj,File,SocialGoal.Data\SocialGoal.Data.csproj,,,PagedList 1.17.0.0,,,,,"PagedList, 1.17.0.0  Recommendation:  No supported version found"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,SocialGoal.Data\SocialGoal.Data.csproj,File,SocialGoal.Data\SocialGoal.Data.csproj,,,EntityFramework 6.0.1,,,,,"EntityFramework, 6.0.1  Recommendation:  Should be replaced. Remove EntityFramework, and replace with new package EntityFramework, 6.5.2"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,SocialGoal.Data\SocialGoal.Data.csproj,File,SocialGoal.Data\SocialGoal.Data.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SocialGoal.Data\SocialGoal.Data.csproj,File,SocialGoal.Data\SocialGoal.Data.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.5 Recommended target framework: net10.0"
Binding.0004,AutoGenerateBindingRedirects not set and no manual redirects,Active,Potential,1,SocialGoal.Data\SocialGoal.Data.csproj,File,SocialGoal.Data\SocialGoal.Data.csproj,,,,,,,,"AutoGenerateBindingRedirects is not set in SocialGoal.Data.csproj, no manual redirects found"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,SocialGoal.Model\SocialGoal.Model.csproj,File,SocialGoal.Model\SocialGoal.Model.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SocialGoal.Model\SocialGoal.Model.csproj,File,SocialGoal.Model\SocialGoal.Model.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.5 Recommended target framework: net10.0"
